,Time,IP,URL,Staus,AdjustedInMinutes,AdjustedInHour,AdjustedInDay,Method,HTTP
40,2017-11-29 13:49:26,10.128.2.1,/countdown.php,200,2017-11-29 13:40:00,2017-11-29 13:00:00,2017-11-29,GET,HTTP/1.1
41,2017-11-29 13:49:32,10.128.2.1,/home.php,200,2017-11-29 13:40:00,2017-11-29 13:00:00,2017-11-29,GET,HTTP/1.1
42,2017-11-29 13:49:34,10.128.2.1,/compiler.php,200,2017-11-29 13:40:00,2017-11-29 13:00:00,2017-11-29,GET,HTTP/1.1
43,2017-11-29 13:49:37,10.128.2.1,/compiler.php,200,2017-11-29 13:40:00,2017-11-29 13:00:00,2017-11-29,GET,HTTP/1.1
44,2017-11-29 13:51:40,10.131.2.1,/logout.php,302,2017-11-29 13:50:00,2017-11-29 13:00:00,2017-11-29,GET,HTTP/1.1
45,2017-11-29 13:51:41,10.129.2.1,/login.php,200,2017-11-29 13:50:00,2017-11-29 13:00:00,2017-11-29,GET,HTTP/1.1
46,2017-11-29 13:51:44,10.129.2.1,/process.php,302,2017-11-29 13:50:00,2017-11-29 13:00:00,2017-11-29,POST,HTTP/1.1
47,2017-11-29 13:51:44,10.131.2.1,/home.php,200,2017-11-29 13:50:00,2017-11-29 13:00:00,2017-11-29,GET,HTTP/1.1
48,2017-11-29 13:51:46,10.131.2.1,/contestproblem.php,200,2017-11-29 13:50:00,2017-11-29 13:00:00,2017-11-29,GET,HTTP/1.1
49,2017-11-29 13:51:49,10.131.2.1,/details.php,200,2017-11-29 13:50:00,2017-11-29 13:00:00,2017-11-29,GET,HTTP/1.1
50,2017-11-29 13:57:04,10.128.2.1,/contestproblem.php,200,2017-11-29 13:50:00,2017-11-29 13:00:00,2017-11-29,GET,HTTP/1.1
51,2017-11-29 14:04:57,10.131.2.1,/details.php,200,2017-11-29 14:00:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
52,2017-11-29 14:05:10,10.131.2.1,/contest.php,200,2017-11-29 14:00:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
53,2017-11-29 14:05:12,10.131.2.1,/contestproblem.php,200,2017-11-29 14:00:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
54,2017-11-29 14:05:16,10.131.2.1,/details.php,200,2017-11-29 14:00:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
55,2017-11-29 14:05:22,10.131.2.1,/contest.php,200,2017-11-29 14:00:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
56,2017-11-29 14:05:24,10.131.2.1,/contestproblem.php,200,2017-11-29 14:00:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
57,2017-11-29 14:05:28,10.131.2.1,/details.php,200,2017-11-29 14:00:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
58,2017-11-29 14:05:35,10.131.2.1,/contest.php,200,2017-11-29 14:00:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
59,2017-11-29 14:05:37,10.131.2.1,/contestproblem.php,200,2017-11-29 14:00:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
60,2017-11-29 14:06:05,10.131.2.1,/details.php,200,2017-11-29 14:00:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
61,2017-11-29 14:06:10,10.128.2.1,/contestproblem.php,200,2017-11-29 14:00:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
62,2017-11-29 14:31:33,10.131.0.1,/,200,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
63,2017-11-29 14:33:21,10.131.2.1,/contestproblem.php,200,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
64,2017-11-29 14:33:22,10.131.2.1,/css/bootstrap.min.css,304,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
65,2017-11-29 14:33:22,10.128.2.1,/css/font-awesome.min.css,304,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
66,2017-11-29 14:33:22,10.131.0.1,/css/normalize.css,304,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
67,2017-11-29 14:33:22,10.131.2.1,/css/main.css,304,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
68,2017-11-29 14:33:22,10.131.0.1,/css/style.css,304,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
69,2017-11-29 14:33:23,10.128.2.1,/js/vendor/modernizr-2.8.3.min.js,304,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
70,2017-11-29 14:33:23,10.131.2.1,/js/vendor/jquery-1.12.0.min.js,304,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
71,2017-11-29 14:33:23,10.131.2.1,/bootstrap-3.3.7/js/bootstrap.min.js,304,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
72,2017-11-29 14:33:23,10.128.2.1,/js/vendor/moment.min.js,304,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
73,2017-11-29 14:33:26,10.131.2.1,/,200,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
74,2017-11-29 14:38:07,10.130.2.1,/compiler.php,200,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
75,2017-11-29 14:38:08,10.130.2.1,/home.php,200,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
76,2017-11-29 14:38:09,10.130.2.1,/bootstrap-3.3.7/js/bootstrap.js,304,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
77,2017-11-29 14:38:13,10.130.2.1,/compiler.php,200,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
78,2017-11-29 14:38:40,10.128.2.1,/contest.php,200,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
79,2017-11-29 14:38:43,10.128.2.1,/home.php,200,2017-11-29 14:30:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
80,2017-11-29 14:52:51,10.129.2.1,/home.php,200,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
81,2017-11-29 14:53:22,10.129.2.1,/compiler.php,200,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
82,2017-11-29 14:53:24,10.129.2.1,/home.php,200,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
83,2017-11-29 14:54:55,10.131.0.1,/home.php,200,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
84,2017-11-29 14:55:46,10.128.2.1,/home.php,200,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
85,2017-11-29 14:55:53,10.128.2.1,/contestproblem.php,200,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
86,2017-11-29 14:55:56,10.128.2.1,/home.php,200,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
87,2017-11-29 14:56:00,10.128.2.1,/contest.php,200,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
88,2017-11-29 14:56:04,10.128.2.1,/contestproblem.php,200,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
89,2017-11-29 14:56:08,10.128.2.1,/logout.php,302,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
90,2017-11-29 14:56:08,10.129.2.1,/login.php,200,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
91,2017-11-29 14:56:17,10.129.2.1,/process.php,302,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,POST,HTTP/1.1
92,2017-11-29 14:56:18,10.129.2.1,/home.php,200,2017-11-29 14:50:00,2017-11-29 14:00:00,2017-11-29,GET,HTTP/1.1
93,2017-11-29 15:00:05,10.131.0.1,/contest.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
94,2017-11-29 15:00:53,10.131.2.1,/,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
95,2017-11-29 15:00:53,10.131.2.1,/fonts/fontawesome-webfont.woff2,304,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
96,2017-11-29 15:00:55,10.131.2.1,/contest.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
97,2017-11-29 15:01:00,10.131.2.1,/home.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
98,2017-11-29 15:01:04,10.130.2.1,/contest.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
99,2017-11-29 15:04:07,10.128.2.1,/contest.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
100,2017-11-29 15:04:10,10.128.2.1,/contestproblem.php,302,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
101,2017-11-29 15:04:11,10.130.2.1,/countdown.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
102,2017-11-29 15:04:31,10.130.2.1,/contest.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
103,2017-11-29 15:04:34,10.130.2.1,/contestproblem.php,302,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
